COURSE_CODE,COURSE_DESCRIPTION
COMS1015A,Basic Computer Organization
COMS1016A,Discrete Computational Structures
COMS1017A,Introduction to Data Structures and Algorithms
COMS1018A,Introduction to Algorithms and Programming
MATH1034A,Algebra
MATH1036A,Calculus
APPM1006A,Computational and Applied Mathematics
PHYS1000A,Physics
INFO1000A,Information Systems IA
INFO1003A,Information Systems IB
COMS2002A,Database Fundamentals  
COMS2013A,Mobile Computing
COMS2014A,Computer Networks
COMS2015A,Analysis of Algorithms
STAT2012A,Introduction to Mathematical Statistics
MATH2021A,Multivariable Calculus
MATH2015A,Abstract Mathematics
MATH2022A,Introductory Analysis
MATH2019A,Linear Algebra
APPM2007A,Computational and Applied Mathematics
INFO2000A,Information Systems IIA
INFO2001A,Information Systems IIB
COMS3005A,Advanced Analysis of Algorithms
COMS3003A,Formal Languages and Automata
COMS3009A,Software Design
COMS3002A,Software Engineering
COMS3010A,Operating Systems and System Programming
COMS3007A,Machine Learning
COMS3006A,Computer Graphics and Visualisation
COMS3008A,Parallel Computing
COMS3011A,Software Design Project
