COURSE_CODE,COURSE_DESCRIPTION
 COMS7009A,Research Report: Computer Science
COMS7040A,Advanced Operating System
COMS7041A,Applications of Algorithms
COMS7042A,Compilers
COMS7043A,Database
COMS7044A,Artificial Intelligence
COMS7045A,High Performance Computing and Scientific Data Management
COMS7046A,Distributed Databases and Transaction Processing
COMS7047A,Adaptive Computation and Machine Learning
COMS7048A,Multi-agent Systems
COMS7049A,Robotics
COMS7050A,Computer Vision
COMS7051A,Distributed Computing
COMS7052A,Software Defined Networking
COMS7054A,Human Computer Interaction
COMS7053A,Special Topics in Computer Science
COMS7238A,Advanced Digital Image Processing
