COURSE_CODE,COURSE_DESCRIPTION
COMS3005A,Advanced Analysis of Algorithms
COMS3003A,Formal Languages and Automata
COMS3009A,Software Design
COMS3002A,Software Engineering
COMS3010A,Operating Systems and System Programming
COMS3007A,Machine Learning
COMS3006A,Computer Graphics and Visualisation
COMS3008A,Parallel Computing
COMS3011A,Software Design Project
INFO3002A,Management and Application of Information Systems
INFO3003A,Capstone Project in Information Systems
APPM3017A,Computational and Applied Mathematics
MATH3001A,Number Theory
MATH3003A,Coding and Cryptography
MATH3004A,Complex Analysis
MATH3006A,Group Theory
MATH3009A,Rings and Fields
MATH3010A,Topology
MATH3031A,Differential Geometry
MATH3032A,Real Analysis
MATH3034A,Leontief Systems
